team_a,team_b,rivalry_name,first_meeting,latest_meeting,meetings,source,source_type,verification_status
Marshall,Ohio,Battle for the Bell,1905,2019,60,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Southern Miss,Tulane,Battle for the Bell,1979,2023,33,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
South Alabama,Troy,Battle for the Belt,2012,2025,14,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Memphis,UAB,Battle for the Bones,1997,2025,18,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
SMU,TCU,Battle for the Iron Skillet,1915,2025,104,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Michigan State,Penn State,Battle for the Land Grant,1914,2025,39,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Jacksonville State,Troy,Battle for the Ol' School Bell,1924,2025,64,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Middle Tennessee,Troy,Battle for the Palladium,1936,2020,21,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
LSU,Tulane,Battle for the Rag,1893,2009,98,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Fresno State,San Jose State,Battle for the Valley,1921,2025,88,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Arkansas,Missouri,Battle Line Rivalry,1906,2025,17,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
New Mexico State,UTEP,Battle of I-10 (Silver Spade),1914,2025,102,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
James Madison,Liberty,Battle of the Blue Ridge,1980,2025,19,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Baylor,Texas A&M,Battle of the Brazos,1899,2011,108,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Miami (OH),Ohio,Battle of the Bricks,1908,2025,102,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Utah,Utah State,Battle of the Brothers,1892,2024,113,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
North Carolina,South Carolina,Battle of the Carolinas,1903,2023,60,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Louisiana,Louisiana Monroe,Battle on the Bayou (Wooden Boot),1951,2025,61,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Baylor,Houston,Baylor-Houston,1950,2025,31,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Baylor,TCU,Baylor-TCU (Bluebonnet Battle),1899,2025,121,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Baylor,Texas,Baylor-Texas,1901,2023,113,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Baylor,Texas Tech,Baylor-Texas Tech,1929,2024,83,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Oklahoma,Oklahoma State,Bedlam Series,1904,2023,118,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
California,Stanford,Big Game (The Axe),1892,2025,128,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
San Jose State,Stanford,Bill Walsh Legacy Game,1900,2025,69,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Memphis,Southern Miss,Black and Blue Bowl,1935,2012,63,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Boise State,Fresno State,Boise State-Fresno State (Milk Can),1977,2025,27,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Boise State,Nevada,Boise State-Nevada,1971,2025,47,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Kansas,Missouri,Border War,1891,2025,121,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Clemson,Florida State,Clemson-Florida State,1970,2023,36,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Clemson,Georgia,Clemson-Georgia,1897,2021,65,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Clemson,Georgia Tech,Clemson-Georgia Tech,1898,2023,89,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Clemson,South Carolina,Palmetto Bowl,1896,2025,122,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Coastal Carolina,Liberty,Coastal Carolina-Liberty,2003,2020,15,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Colorado,Kansas State,Colorado-Kansas State,1912,2010,66,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Colorado,Nebraska,Colorado-Nebraska,1898,2023,72,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Maryland,Navy,Crab Bowl Classic,1905,2010,21,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Appalachian State,Georgia Southern,Deeper than Hate,1932,2023,38,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Mississippi State,Ole Miss,Egg Bowl,1901,2025,120,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Alabama,Auburn,Iron Bowl,1893,2025,90,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Michigan,Michigan State,Michigan-Michigan State (Paul Bunyan Trophy),1898,2023,116,https://en.wikipedia.org/wiki/List_of_Big_Ten_Conference_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Michigan,Minnesota,Michigan-Minnesota (Little Brown Jug),1892,2024,106,https://en.wikipedia.org/wiki/List_of_Big_Ten_Conference_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Michigan,Northwestern,Michigan-Northwestern (George Jewett Trophy),1892,2021,76,https://en.wikipedia.org/wiki/List_of_Big_Ten_Conference_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Michigan,Ohio State,The Game,1897,2023,119,https://en.wikipedia.org/wiki/List_of_Big_Ten_Conference_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Michigan,Notre Dame,Michigan-Notre Dame,1887,2025,45,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Minnesota,Nebraska,Minnesota-Nebraska ($5 Bits of Broken Chair),1900,2025,64,https://en.wikipedia.org/wiki/List_of_Big_Ten_Conference_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Minnesota,Penn State,Minnesota-Penn State,1993,2024,17,https://en.wikipedia.org/wiki/List_of_Big_Ten_Conference_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Minnesota,Wisconsin,Minnesota-Wisconsin (Paul Bunyan's Axe),1890,2024,134,https://en.wikipedia.org/wiki/List_of_Big_Ten_Conference_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Nebraska,Wisconsin,Nebraska-Wisconsin (Freedom Trophy),1901,2022,16,https://en.wikipedia.org/wiki/List_of_Big_Ten_Conference_football_rivalry_games,wikipedia_table_row,confirmed_real_source
